Model,Accuracy,Precision,Recall,F1,ROC-AUC,Training Time,Prediction Time
Random Forest,0.9812646370023419,0.9759704251386322,0.9943502824858758,0.9850746268656716,0.9983324879163679,0.6595295999995869,0.1503288000003522
Gradient Boosting,0.9765807962529274,0.9757914338919925,0.9868173258003766,0.9812734082397003,0.9980001515920076,1.7715647999993962,0.019064500000240514
